Time Taken(ms), FPS
2.0722, 3.24868
0.329, 2.971734
0.4475, 3.22209
0.8464, 3.561648
0.4152, 3.939763
0.3634, 4.360173
0.4728, 4.823625
0.3513, 5.335082
0.4732, 5.890224
0.3298, 6.510825
0.5134, 7.183016
0.4189, 7.93104
0.3334, 8.717478
0.4707, 9.618625
0.4023, 10.57877
0.5286, 11.6289
0.4248, 12.69083
0.3981, 13.92922
0.4122, 15.26129
0.5846, 16.54518
0.6495, 18.04867
0.3733, 19.7423
0.3699, 21.47075
0.3699, 23.28625
0.383, 25.16216
0.4503, 27.36126
0.8917, 29.4545
0.4725, 31.46685
0.3461, 33.53901
0.4899, 36.07845
0.8924, 38.59792
0.7441, 39.91626
0.3229, 42.09018
0.5675, 44.65346
0.3343, 47.67868
0.2914, 50.36395
0.6403, 53.63761
0.4135, 56.00697
0.2988, 57.57656
0.303, 60.48366
0.4213, 63.90425
0.6017, 65.73692
0.3185, 68.86272
0.721, 71.15498
0.399, 73.52353
0.6351, 74.66142
0.369, 76.67089
0.5005, 77.67978
0.3628, 78.46173
0.5982, 80.39632
0.5423, 81.87533
0.2805, 80.76296
0.3149, 83.64294
0.5347, 87.15521
0.3586, 88.79524
0.3693, 88.7011
0.9688, 91.43286
0.2925, 87.38235
0.3563, 89.06304
0.3257, 91.95502
0.3693, 95.30832
0.4808, 94.18353
0.6707, 94.81711
0.5691, 94.32024
0.7473, 95.04809
0.3802, 92.61247
0.335, 91.13907
0.334, 93.1885
0.6601, 91.98055
0.3172, 92.55654
0.3314, 93.99436
0.3238, 96.32137
0.5832, 96.37791
0.4941, 97.95644
0.3868, 97.61833
0.484, 99.13643
0.412, 96.50844
0.4682, 97.65588
0.5108, 95.49206
0.3049, 98.08001
0.5956, 98.36196
0.3025, 99.96593
0.5168, 99.71037
0.4618, 102.6244
0.71, 105.1818
0.5042, 103.1488
0.4819, 101.7729
0.3424, 98.63725
0.5177, 98.58459
0.5098, 95.37657
0.3031, 93.42258
0.6796, 96.69866
0.3242, 96.57372
0.2853, 98.79357
0.2759, 100.4843
0.2711, 102.893
0.4355, 101.8051
0.4059, 98.96012
0.3929, 97.96456
0.2864, 94.56251
0.3042, 96.11314
0.561, 98.98977
0.3038, 97.44415
0.3322, 100.1751
0.3256, 100.4846
0.3681, 102.6622
0.3412, 100.2584
0.3221, 101.6303
0.4454, 101.7519
0.6724, 102.7646
0.4698, 100.4388
0.321, 101.9745
