Time Taken(ms), FPS
4.6835, 3.338424
0.7223, 3.066923
0.6821, 3.345027
0.8179, 3.703357
0.7181, 4.095582
0.7787, 4.536156
0.9142, 5.02583
0.9094, 5.566082
0.848, 6.163392
0.7913, 6.819092
0.7852, 7.54274
0.7742, 8.345294
0.7954, 9.228646
0.8517, 10.18771
0.9129, 11.2368
0.908, 12.39477
0.7778, 13.66324
0.8085, 15.05144
0.7494, 16.55476
0.7949, 18.19572
0.8127, 19.92524
0.7358, 21.85314
0.7918, 23.92382
0.7188, 25.95337
0.7135, 28.36805
0.8013, 30.9642
0.7576, 33.64008
0.7056, 36.58286
0.7566, 39.29747
0.8692, 42.7215
0.7165, 45.9873
0.7095, 49.79859
0.8109, 53.82853
0.7454, 57.67033
0.7239, 61.75471
0.7804, 66.0871
0.7204, 70.30272
0.7793, 74.96426
0.9421, 79.85854
1.0577, 83.84853
0.9464, 87.47942
0.9137, 92.13953
0.6975, 96.81512
0.7261, 101.5823
0.7017, 106.2509
0.7454, 110.729
0.7677, 114.3158
0.6985, 119.5134
0.6832, 124.4528
0.71, 126.2853
0.6971, 129.3089
0.8937, 133.6492
0.8053, 135.6977
0.7504, 136.5073
0.7681, 139.946
0.7817, 142.9481
0.7098, 144.966
0.7198, 140.5615
0.6698, 142.5271
0.6784, 145.9204
0.8825, 150.3078
0.6799, 153.8582
0.78, 157.24
0.6736, 160.7391
0.7114, 164.5669
0.6927, 166.7962
0.8281, 169.0338
0.7384, 169.8834
0.7845, 168.4471
0.9131, 171.1789
0.6972, 173.032
0.9543, 176.2981
0.7311, 178.5507
0.7277, 182.1187
0.6989, 180.1
0.7762, 174.5102
0.9281, 178.879
0.775, 181.5658
0.7139, 184.4222
0.9079, 188.3755
0.7926, 191.5264
0.6782, 192.4572
0.6707, 193.0351
0.7011, 196.4068
0.7162, 198.4483
0.9548, 202.8185
0.8748, 204.3504
0.8811, 202.7723
0.7934, 204.4089
0.7311, 205.1526
1.305, 201.4173
0.7651, 192.4003
0.7554, 187.5276
0.6731, 186.9347
0.6675, 188.0429
0.7406, 179.2998
0.7592, 176.3613
0.9327, 178.4335
0.769, 178.5639
0.6808, 179.5096
1.1238, 180.6042
0.7005, 179.2246
0.7466, 181.8392
0.7248, 184.0717
0.6769, 184.2883
0.8206, 187.3623
0.7126, 188.946
0.6873, 189.0961
0.7621, 191.1109
0.7898, 193.0123
0.685, 186.9279
0.7458, 188.9116
0.8074, 190.8349
0.7374, 190.9574
0.6688, 190.491
0.6916, 188.5109
0.82, 188.7295
